경도,위도,최대수용인원,도로명주소,대피소 종류,시설면적(㎡),운영상태
129.0251418479166,35.094504805099554,1356,부산광역시 서구 해안새벽시장길 40 ,민방위,1119.0,사용중
129.01629507711215,35.07764634762051,147,부산광역시 서구 충무대로 24 ,민방위,122.0,사용중
129.01674236379998,35.104163998510366,6000,부산광역시 서구 해돋이로 309 ,민방위,4950.0,사용중지
129.01321016276947,35.0641777281753,10351,부산광역시 서구 원양로 125 ,민방위,8540.0,사용중
129.01727882958087,35.111526163020145,584,"부산광역시 서구 구덕로 310, 1층 ",민방위,482.0,사용중
129.02128805423663,35.11171868420506,238,"부산광역시 서구 보수대로 183, 1층 ",민방위,197.0,사용중
129.02440203839944,35.09812502594959,1000,부산광역시 서구 보수대로 15 ,민방위,825.0,사용중
129.01712848211776,35.102057394376594,418,"부산광역시 서구 구덕로193번길 49,  1층 ",민방위,345.0,사용중
129.02045123228424,35.07872396162331,1088,부산광역시 서구 충무대로 72 ,민방위,897.7,사용중
129.0222101588152,35.09693537684838,2038,부산광역시 서구 구덕로 130 ,민방위,1682.0,사용중
129.01656634118322,35.109461785840885,233,부산광역시 서구 대영로 46 ,민방위,193.0,사용중
129.012800576582,35.11375742444047,800,부산광역시 서구 망양로33번길 27 ,민방위,660.0,사용중
129.01833554321442,35.11599304895906,3244,"부산광역시 서구 보수대로242번길 6, 1층 ",민방위,2677.0,사용중
129.0156196502439,35.098830607030735,3030,부산광역시 서구 아미로 132-1 ,민방위,2500.0,사용중지
129.01509545564448,35.08426251005756,436,부산광역시 서구 천해로 39 ,민방위,360.0,사용중
129.02127584129315,35.107808187740424,1308,부산광역시 서구 흑교로 106,민방위,1079.85,사용중
129.02063061283175,35.08442189957446,431,"부산광역시 서구 천마로 87, 남부민2동 주민센터 ",민방위,356.18,사용중
129.01859360728304,35.078123804782386,4864,부산광역시 서구 충무대로 56 ,민방위,4013.0,사용중
129.02205936928098,35.096463458218494,706,부산광역시 서구 구덕로 127 ,민방위,583.0,사용중
129.024406755849,35.0993188040565,27106,부산광역시 서구 보수대로 27 ,민방위,22363.0,사용중
129.05729145562194,35.12917100357444,295,"부산광역시 동구 충장대로 351, 부산지방해양수산청 ",민방위,244.0,사용중
129.0606018793148,35.14079646410175,1991,부산광역시 동구 조방로 48,민방위,1643.0,사용중
129.04737304568042,35.12718850080987,9840,"부산광역시 동구 중앙대로 350, 부산진역 ",민방위,8118.0,사용중
129.03959122543105,35.114406899750485,2825,"부산광역시 동구 중앙대로 192, 한국교직원공제회 부산회관 ",민방위,2331.0,사용중
129.06251553662784,35.141016661083846,1117,부산광역시 동구 자성로133번길 50,민방위,922.0,사용중
129.06149080171156,35.140584441328414,801,부산광역시 동구 조방로42번길 6,민방위,661.0,사용중
129.05410025352836,35.12891166205992,320,"부산광역시 동구 성남로 27, 대한통운 ",민방위,264.0,사용중
129.0623643268494,35.13896152626028,695,부산광역시 동구 조방로 22,민방위,574.0,사용중
129.03962515193555,35.115013487462925,9849,부산광역시 동구 중앙대로 200,민방위,8126.0,사용중
129.04262054552456,35.120358593032265,6716,"부산광역시 동구 중앙대로 264, 초량역 ",민방위,5541.0,사용중
129.0594333766186,35.13991402765046,4896,부산광역시 동구 범일로 108,민방위,4040.0,사용중
129.05460006019428,35.13560133817636,2350,"부산광역시 동구 정공단로 34, 일신기독병원 ",민방위,1939.38,사용중
129.0537601506067,35.133673111720576,7803,부산광역시 동구 중앙대로 446,민방위,6438.0,사용중
129.0421214281995,35.1204482361299,1602,"부산광역시 동구 중앙대로 263, 국제오피스텔 ",민방위,1322.0,사용중
129.06505683860536,35.13676793256663,4344,"부산광역시 동구 자성로 134, 눌원빌딩 ",민방위,3584.0,사용중
129.0615283017337,35.13916469529125,2203,부산광역시 동구 조방로 27,민방위,1818.0,사용중
129.04748900505797,35.12860425379299,1404,부산광역시 동구 중앙대로361번길 14,민방위,1159.0,사용중
129.05529522831927,35.1274045664285,84,"부산광역시 동구 충장대로 325, 남해지방해양경찰청 ",민방위,70.0,사용중
129.039435948714,35.1136822281243,8021,"부산광역시 동구 중앙대로 184, 삼성화재 부산초량사옥 ",민방위,6618.0,사용중
129.0568169150118,35.138981498945874,21741,부산광역시 동구 중앙대로 514,민방위,17937.0,사용중
129.05371504094924,35.13048751872288,410,"부산광역시 동구 성남로47번길 13, 범일5동 주민자치센터 ",민방위,339.0,사용중
129.0408643718293,35.116700926512614,1402,"부산광역시 동구 중앙대로 222, 엠디엠타워 ",민방위,1157.0,사용중
129.04666494434346,35.13094278412001,1692,"부산광역시 동구 진성로 29, 수정초등학교 ",민방위,1396.0,사용중
129.0354451214057,35.1257706057234,7160,부산광역시 동구 홍곡남로 50,민방위,5907.0,사용중
129.05060025580045,35.139082738784545,4109,"부산광역시 동구 증산서로 55, 범일초등학교 ",민방위,3390.0,사용중
129.04524118228787,35.129100766451145,415,"부산광역시 동구 구청로 1, 동구청 ",민방위,343.0,사용중
129.0555349369714,35.13157322433772,16604,부산광역시 동구 성남일로 5,민방위,13699.0,사용중
129.03691933447365,35.12116432455435,989,"부산광역시 동구 초량로40번길 23, 부산고등학교 ",민방위,816.0,사용중
129.0367096942513,35.088244515907455,1170,부산광역시 영도구 남항남로9번길 61 ,민방위,965.98,사용중
129.0731031044571,35.07520411078322,600,부산광역시 영도구 절영로 550 ,민방위,495.0,사용중
129.07134963698354,35.07611592093286,520,부산광역시 영도구 동삼로29번길 5 ,민방위,429.0,사용중
129.07134963698354,35.07611592093286,480,부산광역시 영도구 동삼로29번길 5 ,민방위,396.0,사용중
129.0720219347555,35.07507918278195,400,부산광역시 영도구 절영로 553 ,민방위,330.0,사용중
129.04520626083956,35.083364274779534,288,부산광역시 영도구 하나길 317 ,민방위,238.0,사용중
129.06545124578648,35.09042000411284,299,부산광역시 영도구 일산봉로 95 ,민방위,247.0,사용중
129.0583564665351,35.09691549591888,88,부산광역시 영도구 청학서로 78 ,민방위,73.0,사용중
129.03968478224903,35.09190439287004,202,부산광역시 영도구 절영로 27 ,민방위,167.4,사용중
129.0404037525059,35.09216581226841,1161,부산광역시 영도구 태종로 85 ,민방위,958.29,사용중
129.03995022285292,35.09233791057762,259,부산광역시 영도구 절영로 21 ,민방위,214.0,사용중
129.0402125780949,35.08515738568506,189,부산광역시 영도구 남항서로70번길 99 ,민방위,156.0,사용중
129.07114858562653,35.083674232139394,100,부산광역시 영도구 동삼서로 61,민방위,83.0,사용중
129.0638868652147,35.09454505411883,410,부산광역시 영도구 태종로358번길 3 ,민방위,339.0,사용중
129.08089337966564,35.06597727863447,111,부산광역시 영도구 아랫서발길 5 ,민방위,92.0,사용중
129.0415661801698,35.09136663430107,2818,부산광역시 영도구 태종로 98 ,민방위,2325.34,사용중
129.0401099715398,35.091358409253104,292,부산광역시 영도구 절영로29번길 14 ,민방위,241.0,사용중
129.08062504836775,35.06782922985748,52,부산광역시 영도구 본산남길 5 ,민방위,43.0,사용중지
129.0427599752388,35.09090221052823,252,부산광역시 영도구 태종로 110 ,민방위,208.0,사용중
129.0371695521266,35.08655158909198,581,부산광역시 영도구 남항남로19번길 29 ,민방위,480.0,사용중
129.0666402885122,35.08831935133714,320,부산광역시 영도구 태종로422번길 51,민방위,264.0,사용중
129.0381519885922,35.09290771645767,643,부산광역시 영도구 태종로 63 ,민방위,530.51,사용중
129.06695262144405,35.070607448600136,480,부산광역시 영도구 중리북로 16 ,민방위,396.0,사용중
129.08136290394668,35.06886564041666,320,부산광역시 영도구 하리해안길 10-13 ,민방위,264.0,사용중
129.07114858562653,35.083674232139394,100,부산광역시 영도구 동삼서로 61 ,민방위,83.0,사용중
129.04291513071385,35.08231904834902,932,부산광역시 영도구 남항새싹길 79 ,민방위,769.32,사용중
129.08040595322376,35.06322342543503,164,부산광역시 영도구 태종로 820-23 ,민방위,136.0,사용중
129.04716394089422,35.07694731609193,591,부산광역시 영도구 절영로 239 ,민방위,487.74,사용중
129.06652504433194,35.06895883260818,400,부산광역시 영도구 중리남로 12 ,민방위,330.0,사용중
