연번,단지명,주소,동수,층수,연면적,세대수
43,해운드림빌,부산광역시 연제구 연산5동 1345-12,1,10,1845.34,29
43,온천천2차동원로얄듀크,부산광역시 연제구 거제1동 1513,2,21,14886.23,118
43,다이안빌,부산광역시 연제구 연산4동 622-18,1,5,656.74,28
43,KH마이우스,부산광역시 연제구 연산5동 1492-3,1,13,9785.571,98
43,세경더뷰,부산광역시 연제구 연산5동 1279-11,1,7,882.51,20
43,연제스퀘어,부산광역시 연제구 연산5동 1310-120,1,9,903.4,20
43,연제큐브,부산광역시 연제구 연산5동 1310-16,1,9,901.84,20
43,꿈에그린,부산광역시 연제구 연산5동 1503-32,1,6,662.26,24
43,햇살사랑채,부산광역시 연제구 연산4동 665-13,1,5,470.42,20
43,디아이하우스,부산광역시 연제구 연산5동 1502-18,1,10,2423.64,29
43,연산 경동메르빌,부산광역시 연제구 연산2동 2298,2,49,82156.6441,470
43,유진빌,부산광역시 연제구 거제1동 246-2,1,5,650.11,25
43,연산센텀빌,부산광역시 연제구 연산9동 416-21,1,6,2458.64,24
43,유림그린빌,부산광역시 연제구 연산5동 708-17,1,8,885.12,20
43,우노레지던스,부산광역시 연제구 연산5동 1255-28,1,4,641.35,21
43,해운파크빌,부산광역시 연제구 연산5동 1345-8,1,10,2287.99,29
43,연산프라임빌,부산광역시 연제구 연산2동 867-36,1,8,537.53,22
43,일동미라주 리버,부산광역시 연제구 거제1동 1515,4,32,31479.89,220
43,쁘띠메종,부산광역시 연제구 거제1동 89-21,1,5,635.89,29
43,부산 센텀푸르지오,부산광역시 연제구 연산9동 2307,6,28,82604.99,560
43,인펠리스,부산광역시 연제구 거제1동 343-1,1,6,634.2645,20
43,대한주택보증직원숙소,부산광역시 연제구 거제1동 1469-4,1,9,1711.82,43
43,수목하우스 가동,부산광역시 연제구 연산5동 711-9,1,7,965.96,24
43,더샵파크시티,부산광역시 연제구 연산8동 2311,14,41,289326.68,1758
43,나경위너스,부산광역시 연제구 연산5동 708-8,1,15,2548.593,26
43,드리머스,부산광역시 연제구 연산5동 1289-12,1,14,4067.34,48
43,유림스위트빌,부산광역시 연제구 연산1동 583-11,1,6,998.785,20
43,수목하우스나동,부산광역시 연제구 연산5동 711-5,1,6,993.8,24
43,보성오페라,부산광역시 연제구 거제1동 199-14,1,7,990.83,24
43,힐타워,부산광역시 연제구 거제1동 340-4,1,6,594.66,20
43,킴스힐타워,부산광역시 연제구 연산5동 1305-12,1,23,4983.3361,54
43,부산 더샵 시티애비뉴,부산광역시 연제구 연산5동 1361-7,3,32,65324.27,232
43,우일아내트,부산광역시 연제구 연산5동 1357-4,1,15,1991.62,25
43,수목하우스다동,부산광역시 연제구 연산5동 705-2,1,10,1295.21,29
43,마이네하임,부산광역시 연제구 연산9동 469-7,1,15,13327.445,133
43,월드파크3,부산광역시 연제구 거제3동 600,1,15,7863.6025,78
43,세경미가,부산광역시 연제구 거제3동 576-12,1,14,2839.74,30
