학교명,도로명주소,위도,경도
모라중학교,부산광역시 사상구 백양대로 936,35.1906712,128.9924382
사직고등학교,부산광역시 동래구 쇠미로119번길 51,35.20362214,129.0559786
성서초등학교,부산광역시 부산진구 중앙번영로 25,35.14505161,129.0623365
부산문화여자고등학교,부산광역시 해운대구 해운대로469번길 50,35.16597407,129.1435338
금명중학교,부산광역시 북구 화명신도시로 210-1,35.2434222,129.0120576
건국중학교,부산광역시 사하구 승학로17번길 76-8,35.10952808,128.9696164
덕성초등학교,부산광역시 북구 만덕대로39번길 45,35.21321919,129.0079893
부산보건고등학교,부산광역시 영도구 절영로 163,35.0815515,129.0412838
주례여자중학교,부산광역시 사상구 가야대로306번길 55,35.14894787,129.0073779
부곡초등학교,부산광역시 금정구 기찰로22번길 15,35.23411218,129.0932501
덕천초등학교,부산광역시 북구 덕천2길 10,35.20843594,129.0067754
대연중학교,부산광역시 남구 천제등로16번길 81,35.13195379,129.0850542
상당중학교,부산광역시 해운대구 대천로103번길 48,35.17893373,129.1761373
브니엘예술중학교,부산광역시 금정구 체육공원로 154,35.25485306,129.1039264
배영초등학교,부산광역시 강서구 공항로339번길 260,35.15020326,128.9453246
구학초등학교,부산광역시 사상구 학감대로 49,35.13775929,128.9922143
부산동중학교,부산광역시 부산진구 동성로30번길 36,35.15326954,129.0712527
인지초등학교,부산광역시 해운대구 반여로 128,35.20288052,129.1251174
송도초등학교,부산광역시 서구 충무대로 25,35.07835449,129.0160433
청룡초등학교,부산광역시 금정구 팔송로 6,35.27279359,129.0917544
토성초등학교,부산광역시 서구 구덕로134번길 45,35.099243,129.0212815
주원초등학교,부산광역시 부산진구 복지로 71,35.14725647,129.0208064
덕문중학교,부산광역시 강서구 동선길 144,35.0520756,128.8298145
초연중학교,부산광역시 부산진구 초읍천로77번가길 9,35.17955291,129.0449128
화명초등학교,부산광역시 북구 대천천길 65,35.24224054,129.018073
남문초등학교,부산광역시 연제구 법원북로 23,35.19421004,129.0695559
